기관명,기관유형,홈페이지URL,게시판URL,상태,상태설명,게시물후보,상세확인,기존확인건너뜀,최근게시물,제목매칭,본문매칭,상세오류,게시판후보수,게시판조회수,게시판검증수,선정점수,재시도대상,최종확인시각
한국기술교육대학교,기타공공기관,https://www.koreatech.ac.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국나노기술원,기타공공기관,https://www.kanc.re.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국남동발전(주),공기업(시장형),https://www.koenergy.kr/,,CANDIDATE_NOT_VERIFIED,게시판 후보는 있으나 실제 게시판 검증 실패,0,0,0,0,0,0,0,0,6,0,,예,2026-09-26 09:29:41
한국남부발전(주),공기업(시장형),https://www.kospo.co.kr/,,HOME_ERROR,홈페이지 접속 실패,0,0,0,0,0,0,0,0,0,0,,예,2026-09-26 09:29:41
한국노동연구원,기타공공기관,https://www.kli.re.kr/,https://www.kli.re.kr/board.es?mid=a10302000000&bid=0004,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,10,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국노인인력개발원,기타공공기관,https://www.kordi.or.kr/,https://www.kordi.or.kr/content.do?cmsId=91,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,8,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국농수산식품유통공사,준정부기관(위탁집행형),https://www.at.or.kr/,https://www.at.or.kr/article/apko364000/list.action,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국농어촌공사,준정부기관(위탁집행형),https://www.ekr.or.kr/,https://www.ekr.or.kr/planweb/board/list.krc?contentUid=402880317d26727b017d2bd0da460631&boardUid=402880317cc0644a017cc4a46db90382&subPath=,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,0,,,,,아니오,2026-09-26 09:29:41
한국농업기술진흥원,기타공공기관,https://www.koat.or.kr/,https://www.koat.or.kr/board/business/list.do,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,7,0,0,1,,,,,아니오,2026-09-26 09:29:41
한국농촌경제연구원,기타공공기관,https://www.krei.re.kr/,https://www.krei.re.kr/krei/page/23,CACHED_OR_SEED,기존 캐시/지정 게시판 확인,10,10,0,9,0,0,4,,,,,아니오,2026-09-26 09:29:41
